,index,Unnamed: 0,id,user_location,text,created_at,username,lang,retweet_count,reply_count,like_count,quote_count
116,801,801,1464711563462549511,"Saint John, Nouveau-Brunswick","#Britain, #Germany and #Italy detected cases of the new #Omicron #coronavirus #variant on Saturday and #British Prime Minister Boris Johnson announced new steps to contain the #virus, while more nations imposed #restrictions on travel from Southern #Africa https://t.co/PPiYTc5XGk",2021-11-27 21:43:44+00:00,AhmedSaffar2,en,0,0,0,0
117,825,825,1464733771723333639,"Oakville, Ontario",‘Omicron’: How fear of new Covid strain gripped the world — RT World News https://t.co/GPEeLX2zIo,2021-11-27 23:11:59+00:00,warlockthunder1,en,0,0,0,0
118,843,843,1464743719979130887,Canada,"Lawyers to sue WHO for 'misleading world over COVID-19 outbreak'
https://t.co/kc5PwsVoxX",2021-11-27 23:51:31+00:00,IBAConservative,en,0,0,0,0
119,845,845,1464747724126007301,Lake Ontario,"""wild speculation"" lol.

I guess the best way to counter ""wild speculation"" is with clear communication on COVID-19. Still seeking that. #onpoli #cdnpoli #cdnmedia https://t.co/p5IkZxXX1x",2021-11-28 00:07:25+00:00,drivandalism,en,0,0,0,0
120,851,851,1464753856735113224,"Poorman 88, Saskatchewan",I’m in the waiting area for my Covid booster now. They put the kid vaccination area next to the 15 min waiting area. Is this what a slaughter house for pigs sounds like? So much squealing. A little boy just walked out without his shirt yelling “NO!”,2021-11-28 00:31:47+00:00,phatteststeve,en,0,0,0,0
121,863,863,1464765858807488524,"Ottawa, Ontario","PLEASE READ &amp; RT: possible COVID-19 exposure following a rideshare.
We are looking to contact the driver of a white rideshare car who travelled from Trudeau Int.  Airport in Montreal to the Barrhaven area in Ottawa on November 24.
Read the full PSA here: https://t.co/7EYu1cyxL1 https://t.co/XDhvzu471q",2021-11-28 01:19:29+00:00,OttawaHealth,en,154,13,56,5
122,873,873,1464769819144867849,"Toronto, Ontario","$OCGN ALL the answers you need in the video. We have a vaccine that can provide immunity &amp; stop the transmission of the virus #COVAXIN Republic Economic Summit
 Dr Krishna Ella gives deep insights into Covaxin. @B1llyTh2K3d  @The_RockTrading @LadeBackk 
https://t.co/fyCwooF4s0",2021-11-28 01:35:13+00:00,mikalche,en,32,7,94,6
123,874,874,1464774012584685572,Western Canada,"The Vaccine Moment, part one - by Paul Kingsnorth - The Abbey of Misrule https://t.co/CZHDkgUhxg",2021-11-28 01:51:53+00:00,QC_Trading,en,0,0,0,0
124,884,884,1464782018676412420,Canada,"""COVID-19 outbreaks in Ontario elementary schools have reached a high since the beginning of the school year, with more than 160 current outbreaks, almost double the number from two weeks ago and almost triple the total from a month ago.""
https://t.co/ucofE5mEt5 via @torontostar",2021-11-28 02:23:42+00:00,ChristyCeeCK,en,19,3,45,3
125,917,917,1464814168499007492,"Vancouver, British Columbia","You rock, I rock, business Mamas all over the World rock!  #mask #covid #mom #motivation #inspire #ad https://t.co/2U92PLO6uA",2021-11-28 04:31:27+00:00,MomsDoBusiness,en,0,0,0,0
